Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,,138.22500,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
1,,452.12500,,0.00000,TSQL,69.3,69.3,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
2,,453.22500,,0.00000,TSQL,91.5,91.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
3,,454.32500,,0.00000,TSQL,136.5,136.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
4,,455.42500,,0.00000,TSQL,151.4,151.4,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
5,,456.52500,,0.00000,TSQL,192.8,192.8,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
6,,457.62500,,0.00000,TSQL,241.8,241.8,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
7,,458.72500,,0.00000,DTCS,88.5,88.5,025,NN,025,DTCS->DTCS,FM,5.0,,4.0W,,,,,
8,,459.82500,,0.00000,DTCS,88.5,88.5,134,NN,134,DTCS->DTCS,FM,5.0,,4.0W,,,,,
9,,461.92500,,0.00000,DTCS,88.5,88.5,274,NN,274,DTCS->DTCS,FM,5.0,,4.0W,,,,,
10,,462.22500,,0.00000,DTCS,88.5,88.5,346,NN,346,DTCS->DTCS,FM,5.0,,4.0W,,,,,
11,,463.32500,,0.00000,DTCS,88.5,88.5,503,NN,503,DTCS->DTCS,FM,5.0,,4.0W,,,,,
12,,464.42500,,0.00000,DTCS,88.5,88.5,073,RR,073,DTCS->DTCS,FM,5.0,,4.0W,,,,,
13,,465.52500,,0.00000,DTCS,88.5,88.5,703,RR,703,DTCS->DTCS,FM,5.0,,4.0W,,,,,
14,,402.22500,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
15,,437.42500,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
16,,479.97500,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
17,,138.55000,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
18,,157.65000,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
19,,172.75000,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
20,,438.50000,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
21,,155.70000,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
22,NOAA,162.40000,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
23,MARDIS,156.80000,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
24,SRCRESC,155.16000,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
25,2MTSIMP,146.52000,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
26,125SIMP,223.50000,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
27,70cmSIM,446.00000,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
28,CubaPd,154.44500,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
29,KD2PFE,146.99500,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
30,NK2O,444.10000,+,5.00000,TSQL,107.2,107.2,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
31,K2XZ,444.85000,+,5.00000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
32,KD2PFE,444.80000,+,5.00000,TSQL,100.0,100.0,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
33,W3VV,146.85000,-,0.60000,Tone,127.3,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
34,K2XZ,145.39000,-,0.60000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
35,K2XZ,444.17500,+,5.00000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
36,KC2PES,442.27500,+,5.00000,TSQL,107.2,107.2,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
37,N3PC,146.68500,-,0.60000,Tone,173.8,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
38,WA3HLC,443.57500,+,5.00000,Tone,173.8,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
39,W3VG,446.70000,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
40,K2ISO,145.17000,-,0.60000,Tone,110.9,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
41,NK2O,147.21000,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
42,NK2O,444.10000,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
43,KD2PFE,444.80000,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
44,EMS,146.52000,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
45,NATGEMS,163.48750,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
46,DISPREP,163.51250,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
47,FEDCIV,168.55000,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
48,TRVHELP,462.67500,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
49,DIS,138.22500,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
